V,V_in,I_in,V_i,V_2x,T
1.7000000000000004,1.699914,0.0007221351,2.451144,1.716052,23.65
1.7000000000000004,1.699916,0.0007221327,2.45114,1.71604,23.66
1.7000000000000004,1.699916,0.0007221287,2.451144,1.716238,23.66
1.7000000000000004,1.699915,0.0007221308,2.451088,1.715992,23.66
1.7000000000000004,1.699913,0.0007221313,2.451112,1.716354,23.67
1.7000000000000004,1.699915,0.0007221273,2.451201,1.716141,23.66
1.7000000000000004,1.699915,0.0007221266,2.451132,1.716044,23.66
1.7000000000000004,1.699916,0.0007221295,2.451108,1.716129,23.66
1.7000000000000004,1.699914,0.0007221274,2.451152,1.715976,23.66
1.8000000000000005,1.799949,0.0007988265,2.451499,1.816861,23.66
1.8000000000000005,1.79995,0.0007988341,2.451559,1.817171,23.66
1.8000000000000005,1.79995,0.0007988563,2.451652,1.81674,23.66
1.8000000000000005,1.799949,0.0007988506,2.451511,1.816962,23.68
1.8000000000000005,1.79995,0.0007988358,2.451539,1.817006,23.67
1.8000000000000005,1.79995,0.0007988296,2.451624,1.816785,23.66
1.8000000000000005,1.799951,0.0007988501,2.451462,1.817099,23.67
1.8000000000000005,1.799951,0.0007988621,2.451535,1.816857,23.66
1.8000000000000005,1.799948,0.0007988478,2.451511,1.817062,23.66
1.8000000000000005,1.799951,0.0007988272,2.451527,1.816772,23.68
1.9000000000000006,1.899962,0.0009274177,2.452457,1.917275,23.68
1.9000000000000006,1.899961,0.0009274214,2.45253,1.917484,23.68
1.9000000000000006,1.89996,0.0009274154,2.45253,1.917432,23.68
1.9000000000000006,1.899961,0.0009274218,2.452494,1.917497,23.67
1.9000000000000006,1.899962,0.0009274342,2.452526,1.917577,23.68
1.9000000000000006,1.899961,0.0009274311,2.452445,1.917561,23.690001
1.9000000000000006,1.899963,0.0009274522,2.452526,1.917638,23.68
1.9000000000000006,1.899963,0.0009274219,2.45249,1.917698,23.68
1.9000000000000006,1.899962,0.0009274447,2.452474,1.917585,23.68
1.9000000000000006,1.899963,0.0009274006,2.452558,1.91744,23.68
2.0000000000000004,1.999907,0.001100285,2.453424,2.018156,23.690001
2.0000000000000004,1.999906,0.001100266,2.453416,2.018362,23.68
2.0000000000000004,1.999907,0.001100288,2.453424,2.018366,23.68
2.0000000000000004,1.999904,0.001100324,2.453469,2.018354,23.690001
2.0000000000000004,1.999905,0.001100286,2.45336,2.018281,23.690001
2.0000000000000004,1.999907,0.001100324,2.453489,2.018188,23.690001
2.0000000000000004,1.999906,0.001100286,2.453388,2.01835,23.68
2.0000000000000004,1.999909,0.001100324,2.453328,2.018011,23.690001
2.0000000000000004,1.999906,0.001100344,2.453328,2.018221,23.68
2.0000000000000004,1.999906,0.0011003,2.453392,2.018414,23.68
2.1000000000000005,2.099997,0.001300216,2.454967,2.119158,23.690001
2.1000000000000005,2.099997,0.001300261,2.454999,2.119154,23.690001
