V,V_in,I_in,V_i,V_2x,T
0.15000000000000002,0.1501155,7.068913e-05,0.308227,0.158128,29.84
0.15000000000000002,0.1501157,7.068992e-05,0.308179,0.158253,29.860001
0.15000000000000002,0.1501158,7.068909e-05,0.308287,0.15818,29.879999
0.15000000000000002,0.1501152,7.068802e-05,0.308352,0.1582,29.889999
0.15000000000000002,0.1501147,7.068717e-05,0.308376,0.15843,29.9
0.15000000000000002,0.150115,7.068733e-05,0.308312,0.158257,29.92
0.15000000000000002,0.1501167,7.068725e-05,0.308303,0.158108,29.91
0.15000000000000002,0.1501162,7.068626e-05,0.308287,0.158079,29.93
0.15000000000000002,0.1501148,7.068596e-05,0.308336,0.15812,29.93
0.15000000000000002,0.1501145,7.068499e-05,0.308175,0.158406,29.940001
0.2,0.2001535,9.104363e-05,0.408085,0.20795,29.950001
0.2,0.2001521,9.104327e-05,0.408145,0.208039,29.959999
0.2,0.2001521,9.104282e-05,0.408294,0.207914,29.969999
0.2,0.2001534,9.104309e-05,0.408141,0.207849,29.98
0.2,0.2001533,9.104359e-05,0.408226,0.207869,29.969999
0.2,0.2001527,9.104366e-05,0.408311,0.207922,29.98
0.2,0.2001524,9.104327e-05,0.40829,0.207958,29.98
0.2,0.2001522,9.104333e-05,0.408182,0.207898,30.01
0.2,0.2001525,9.104361e-05,0.408141,0.207813,30.01
0.2,0.2001529,9.104345e-05,0.408033,0.207728,30.01
0.2,0.2001521,9.10432e-05,0.40821,0.207757,30.01
0.2,0.2001527,9.104256e-05,0.408137,0.207898,30.030001
0.2,0.2001523,9.104278e-05,0.408097,0.207926,30.02
0.2,0.2001531,9.104229e-05,0.408166,0.207946,30.040001
0.2,0.2001529,9.104178e-05,0.408226,0.207914,30.030001
0.2,0.2001526,9.104118e-05,0.408097,0.207773,30.030001
0.2,0.2001507,9.104001e-05,0.408109,0.207877,30.049999
0.2,0.2001519,9.103956e-05,0.408246,0.208022,30.040001
0.2,0.2001525,9.104054e-05,0.408226,0.208127,30.040001
0.2,0.2001514,9.103937e-05,0.408153,0.207873,30.049999
0.2,0.2001526,9.104037e-05,0.408278,0.208035,30.040001
0.2,0.2001509,9.103968e-05,0.408093,0.208083,30.049999
0.2,0.2001512,9.103846e-05,0.408141,0.208176,30.049999
0.2,0.2001521,9.103955e-05,0.408202,0.20793,30.059999
0.2,0.200152,9.103896e-05,0.408206,0.207962,30.059999
0.2,0.2001527,9.103768e-05,0.40821,0.208163,30.07
0.2,0.2001521,9.103789e-05,0.408145,0.207934,30.08
0.2,0.2001513,9.103722e-05,0.408355,0.20793,30.09
0.2,0.2001511,9.103657e-05,0.408198,0.208055,30.09
0.2,0.2001518,9.103696e-05,0.40817,0.207817,30.09
0.2,0.2001511,9.103633e-05,0.408234,0.207958,30.110001
0.2,0.2001501,9.103627e-05,0.408174,0.207881,30.120001
0.2,0.2001506,9.103613e-05,0.408145,0.207873,30.129999
0.2,0.2001511,9.1035e-05,0.408238,0.207902,30.129999
0.2,0.2001508,9.103485e-05,0.408274,0.207749,30.15
0.2,0.200149,9.103327e-05,0.408161,0.208031,30.16
0.2,0.2001513,9.103333e-05,0.408109,0.207841,30.17
0.2,0.2001514,9.103411e-05,0.408129,0.207938,30.18
0.2,0.2001504,9.103371e-05,0.408105,0.207902,30.190001
0.2,0.2001519,9.103313e-05,0.408294,0.208035,30.209999
0.2,0.2001528,9.103304e-05,0.408073,0.207922,30.219999
0.2,0.2001516,9.103236e-05,0.408105,0.207942,30.219999
0.2,0.2001521,9.103217e-05,0.40817,0.208071,30.23
0.2,0.2001499,9.103087e-05,0.408315,0.207994,30.24
0.2,0.2001503,9.103024e-05,0.408061,0.207773,30.26
0.2,0.2001515,9.103041e-05,0.408133,0.207974,30.27
0.2,0.2001521,9.102992e-05,0.408238,0.207958,30.280001
0.2,0.2001531,9.102947e-05,0.408081,0.207732,30.290001
0.2,0.2001532,9.102937e-05,0.408258,0.207805,30.290001
0.2,0.2001538,9.102925e-05,0.408109,0.208055,30.299999
0.2,0.2001524,9.10281e-05,0.408226,0.20799,30.309999
0.2,0.2001525,9.102773e-05,0.408157,0.207906,30.32
0.2,0.2001526,9.102719e-05,0.408262,0.207837,30.33
0.2,0.2001536,9.102745e-05,0.408113,0.207978,30.34
0.2,0.2001519,9.102713e-05,0.408218,0.207873,30.360001
0.2,0.2001527,9.102686e-05,0.408278,0.207946,30.370001
0.2,0.2001523,9.102652e-05,0.408319,0.207873,30.379999
0.2,0.2001529,9.102628e-05,0.408298,0.207998,30.389999
0.2,0.2001529,9.102711e-05,0.408198,0.208067,30.4
0.2,0.2001539,9.102726e-05,0.408097,0.207841,30.42
0.2,0.2001549,9.102695e-05,0.408331,0.207817,30.43
0.2,0.2001533,9.102589e-05,0.408238,0.207974,30.440001
0.2,0.2001531,9.102536e-05,0.408105,0.208131,30.450001
0.2,0.2001528,9.102492e-05,0.408278,0.208059,30.469999
0.2,0.2001528,9.102554e-05,0.408298,0.208067,30.450001
0.2,0.2001523,9.102468e-05,0.408166,0.207918,30.459999
0.2,0.2001524,9.102383e-05,0.408226,0.208075,30.450001
0.2,0.2001525,9.102367e-05,0.408121,0.207894,30.469999
0.2,0.2001511,9.102267e-05,0.408125,0.207833,30.469999
0.2,0.2001521,9.102259e-05,0.408202,0.207934,30.49
0.2,0.2001534,9.102225e-05,0.408113,0.207881,30.49
0.2,0.2001532,9.102188e-05,0.408117,0.207942,30.49
0.2,0.2001521,9.102223e-05,0.408149,0.208071,30.51
0.2,0.2001514,9.102227e-05,0.408069,0.207966,30.530001
0.2,0.2001513,9.102116e-05,0.408319,0.208107,30.540001
0.2,0.2001521,9.101991e-05,0.40829,0.207994,30.559999
0.2,0.2001518,9.102056e-05,0.408234,0.207865,30.559999
0.2,0.2001537,9.101925e-05,0.408049,0.207998,30.57
0.2,0.2001532,9.101837e-05,0.408182,0.208039,30.58
0.2,0.2001518,9.101745e-05,0.408254,0.208059,30.59
